city,latitude,longitude,temperature,humidity,cloudiness,wind,datetime,country
rikitea,-23.1203,-134.9692,78.64,80,10,12.24,1620145198,PF
touros,-5.1989,-35.4608,82.4,74,75,11.5,1620145199,BR
vostok,46.4856,135.8833,38.79,92,100,5.93,1620145201,RU
tessalit,20.1986,1.0114,106.77,2,0,6.64,1620145202,ML
flinders,-34.5833,150.8552,58.57,94,100,1.01,1620145203,AU
nanortalik,60.1432,-45.2371,43.16,56,76,12.37,1620145205,GL
cape town,-33.9258,18.4232,65.66,77,40,10.36,1620145082,ZA
santa rosa,14.3122,121.1114,84.06,74,20,5.75,1620145207,PH
bengkulu,-3.8004,102.2655,77.36,89,100,4.59,1620145209,ID
faanui,-16.4833,-151.75,82.38,69,100,12.91,1620145210,PF
lebu,-37.6167,-73.65,57.06,56,7,6.08,1620145211,CL
kapaa,22.0752,-159.319,67.53,88,20,10.36,1620145213,US
inhambane,-23.865,35.3833,75.09,46,20,5.75,1620145214,MZ
krasnogorskoye,52.2953,86.1979,41.56,79,100,4.38,1620145215,RU
lagoa,39.05,-27.9833,62.89,85,97,9.57,1620145217,PT
ystad,55.4297,13.8204,48,87,75,14.97,1620145218,SE
saint george,37.1041,-113.5841,67.48,25,1,1.21,1620145220,US
ushuaia,-54.8,-68.3,46.4,66,75,25.32,1620145066,AR
pampas,-12.4,-74.9,59.43,52,100,6.35,1620145222,PE
butaritari,3.0707,172.7902,83.19,77,49,17,1620145223,KI
albany,42.6001,-73.9662,54.9,89,100,3.58,1620145032,US
fort nelson,58.8053,-122.7002,42.8,87,90,4.61,1620145226,CA
rio gallegos,-51.6226,-69.2181,44.6,57,0,23.02,1620145227,AR
winneba,5.3511,-0.6231,86,70,0,20.71,1620145228,GH
nishihara,26.1842,127.7558,73.31,88,40,14.97,1620145230,JP
busselton,-33.65,115.3333,61.83,93,100,4,1620145231,AU
sobolevo,54.4299,31.8996,45.39,62,98,15.05,1620145232,RU
punta arenas,-53.15,-70.9167,46.2,71,75,25.32,1620145234,CL
puerto boyaca,5.9758,-74.5885,86.83,57,70,1.21,1620145110,CO
vilhena,-12.7406,-60.1458,84.2,65,40,6.91,1620145236,BR
kodiak,57.79,-152.4072,39.2,87,90,8.05,1620145237,US
bluff,-46.6,168.3333,51.01,76,65,5.99,1620145239,NZ
saint-philippe,-21.3585,55.7679,74.16,83,90,5.75,1620145240,RE
castro,-24.7911,-50.0119,77.54,38,3,4.9,1620145241,BR
vaini,-21.2,-175.2,77,78,75,10.36,1620145243,TO
georgetown,5.4112,100.3354,79.45,94,20,4.61,1620145244,MY
torbay,47.6666,-52.7314,51.01,43,75,19.57,1620145245,CA
ponta do sol,32.6667,-17.1,64.06,49,40,17.27,1620145247,PT
mataura,-46.1927,168.8643,51.01,76,75,5.99,1620145248,NZ
tuatapere,-46.1333,167.6833,51.01,76,60,5.99,1620145251,NZ
yellowknife,62.456,-114.3525,33.4,37,1,11.5,1620145252,CA
cayenne,4.9333,-52.3333,82.17,69,40,13.8,1620145253,GF
chokurdakh,70.6333,147.9167,30.74,98,100,5.48,1620145254,RU
ternate,0.8,127.4,81.34,80,72,3.51,1620145256,ID
mamallapuram,12.6264,80.1722,86.49,62,20,5.75,1620145257,IN
puerto ayora,-0.7393,-90.3518,77.63,83,75,12.66,1620145087,EC
abong mbang,3.9833,13.1833,75.2,75,96,3.76,1620145260,CM
hasaki,35.7333,140.8333,54.07,94,0,5.75,1620145261,JP
san juan,-31.5375,-68.5364,54.01,49,100,17.72,1620145159,AR
tura,25.5198,90.2201,69.57,87,80,3.22,1620145263,IN
lompoc,34.6391,-120.4579,58.24,67,14,2.15,1620145265,US
jimenez,28.3333,-105.4,69.8,19,1,11.5,1620145266,MX
fukue,32.6881,128.8419,67.08,93,100,37.94,1620145267,JP
fort-shevchenko,44.5086,50.263,64.74,63,0,9.73,1620145269,KZ
antofagasta,-23.65,-70.4,70.39,52,0,6.91,1620145210,CL
asau,46.4333,26.4,61,16,6,4.9,1620145271,RO
hilo,19.7297,-155.09,62.37,73,40,4.88,1620145272,US
praia da vitoria,38.7333,-27.0667,68,64,20,3.24,1620145274,PT
osa,57.2829,55.4567,59.79,74,79,8.1,1620145275,RU
doctor phillips,28.4495,-81.4923,88.59,66,40,10.36,1620145276,US
eruwa,7.5333,3.4167,84.96,60,100,4.29,1620145278,NG
hobyo,5.3505,48.5268,85.69,68,99,13.2,1620145279,SO
hermanus,-34.4187,19.2345,64,78,15,10.45,1620145280,ZA
chuy,-33.6971,-53.4616,67.19,57,97,15.32,1620145282,UY
okhotsk,59.3833,143.3,32.32,89,9,4.21,1620145283,RU
saskylakh,71.9167,114.0833,29.05,97,100,5.77,1620145285,RU
woodstock,43.1334,-80.7497,51.94,100,100,3.44,1620145286,CA
new norfolk,-42.7826,147.0587,44.31,83,80,2.93,1620145287,AU
dikson,73.5069,80.5464,29.52,92,100,4.97,1620145289,RU
oriximina,-1.7656,-55.8661,80.94,78,100,3.36,1620145290,BR
souillac,-20.5167,57.5167,78.8,89,40,3.44,1620145291,MU
hobart,-42.8794,147.3294,44.51,81,49,10.36,1620145293,AU
talnakh,69.4865,88.3972,26.22,93,99,4.03,1620145294,RU
bela vista do paraiso,-22.9967,-51.1906,84.2,39,0,4.61,1620145295,BR
tuktoyaktuk,69.4541,-133.0374,19.4,100,90,4.61,1620145297,CA
port-gentil,-0.7193,8.7815,86,74,75,12.88,1620145298,GA
norman wells,65.282,-126.8329,35.6,75,75,8.05,1620145299,CA
saldanha,-33.0117,17.9442,64.4,72,21,6.91,1620145301,ZA
nikolskoye,59.7035,30.7861,36.12,81,90,11.18,1620145302,RU
ribeira grande,38.5167,-28.7,66.2,82,75,5.75,1620145304,PT
qaanaaq,77.484,-69.3632,29.23,72,97,4.74,1620145305,GL
jaisalmer,26.9147,70.9181,94.89,17,15,11.27,1620145306,IN
iqaluit,63.7506,-68.5145,30.09,93,20,3.44,1620145215,CA
tiksi,71.6872,128.8694,26.01,93,100,4.38,1620145309,RU
katsuura,35.1333,140.3,64.56,68,0,11.5,1620145310,JP
chicama,-7.8447,-79.1469,66.2,82,73,11.5,1620145311,PE
jalapa,19.5333,-96.9167,85.48,25,0,4.45,1620145170,MX
avarua,-21.2078,-159.775,75.2,73,75,5.75,1620145314,CK
sulphur,30.2366,-93.3774,83.1,78,90,9.22,1620145315,US
quatre cocos,-20.2078,57.7625,78.91,89,40,3.44,1620145316,MU
traverse city,44.7631,-85.6206,45.3,87,90,6.91,1620145162,US
kalininsk,51.5,44.4758,48.85,61,100,10.71,1620145319,RU
charters towers,-20.1,146.2667,68.36,69,61,3.44,1620145320,AU
yar-sale,66.8333,70.8333,17.94,95,11,5.28,1620145322,RU
guerrero negro,27.9769,-114.0611,64.42,66,0,6.78,1620145323,MX
east london,-33.0153,27.9116,66.2,72,0,2.3,1620145324,ZA
severo-kurilsk,50.6789,156.125,35.78,95,100,12.62,1620145326,RU
mar del plata,-38.0023,-57.5575,56.35,58,40,16.11,1620145078,AR
ilulissat,69.2167,-51.1,41,45,1,6.91,1620145328,GL
los llanos de aridane,28.6585,-17.9182,65.66,56,75,14.97,1620145329,ES
cidreira,-30.1811,-50.2056,80.64,54,88,11.59,1620145331,BR
namibe,-15.1961,12.1522,78.8,69,20,17.27,1620145332,AO
bredasdorp,-34.5322,20.0403,68,68,58,9.22,1620145333,ZA
hithadhoo,-0.6,73.0833,84.76,64,81,3.91,1620145335,MV
seoul,37.5683,126.9778,57.2,94,90,8.05,1620145152,KR
naze,28.3667,129.4833,67.66,88,99,18.48,1620145337,JP
atuona,-9.8,-139.0333,80.37,76,21,18.75,1620145338,PF
koslan,63.4564,48.8989,33.84,83,100,12.19,1620145340,RU
egvekinot,66.3167,-179.1667,7.54,84,24,6.82,1620145341,RU
husavik,66.0449,-17.3389,39.2,41,20,6.91,1620145198,IS
port elizabeth,-33.918,25.5701,68,77,0,6.91,1620145302,ZA
kamariotissa,40.4833,25.4667,70.34,49,0,5.75,1620145345,GR
arraial do cabo,-22.9661,-42.0278,82.15,65,20,16.11,1620145285,BR
canutama,-6.5339,-64.3831,82.72,80,99,1.25,1620145348,BR
mahebourg,-20.4081,57.7,78.8,89,40,3.44,1620145349,MU
mahibadhoo,3.7833,72.9667,85.24,66,90,2.48,1620145351,MV
san policarpo,12.1791,125.5072,81.19,85,94,13.22,1620145352,PH
parkes,-33.1333,148.1833,54,92,96,5.44,1620145354,AU
matagami,49.7502,-77.6328,48.2,46,90,8.05,1620145355,CA
nianzishan,47.5167,122.8833,44.44,53,48,8.3,1620145356,CN
cruz,-2.9178,-40.1717,82.35,77,52,9.66,1620145358,BR
leningradskiy,69.3833,178.4167,5.32,85,61,5.75,1620145360,RU
sambava,-14.2667,50.1667,79.07,81,29,0.67,1620145361,MG
machilipatnam,16.1667,81.1333,82.4,83,40,2.3,1620145363,IN
jamestown,42.097,-79.2353,65.3,88,90,5.75,1620145238,US
skjervoy,70.0311,20.9714,39.2,45,0,10.36,1620145365,NO
san patricio,28.017,-97.5169,83.01,84,90,9.22,1620145367,US
high level,58.5169,-117.136,41,36,75,9.22,1620145368,CA
the valley,18.217,-63.0578,83.75,69,20,18.41,1620145269,AI
lata,40.1629,-8.3327,65.14,40,3,7,1620145370,PT
rudnichnyy,59.617,52.4703,54.54,79,100,12.59,1620145372,RU
lasa,46.6166,10.7002,59.52,37,20,9.22,1620145373,IT
grandola,38.1772,-8.5668,68,70,4,8.99,1620145375,PT
karratha,-20.7377,116.8463,80.02,72,98,18.97,1620145376,AU
north vanlaiphai,23.1333,93.0667,58.6,96,100,2.21,1620145378,IN
goure,13.9835,10.2704,104,3,51,8.01,1620145379,NE
vestmannaeyjar,63.4427,-20.2734,42.8,61,20,11.5,1620145380,IS
upernavik,72.7868,-56.1549,33.53,76,36,6.11,1620145382,GL
general roca,-39.0333,-67.5833,53.6,40,0,5.75,1620145383,AR
vagay,57.9375,69.0217,62.08,52,44,12.75,1620145384,RU
port alfred,-33.5906,26.891,68.86,69,0,2.21,1620145386,ZA
fort abbas,29.1925,72.8536,93.33,20,45,6.78,1620145387,PK
san quintin,30.4833,-115.95,65.1,70,12,5.55,1620145389,MX
broome,42.2506,-75.833,64.22,88,90,4.61,1620145390,US
pangnirtung,66.1451,-65.7125,35.6,75,1,4.61,1620145391,CA
pevek,69.7008,170.3133,9.57,76,15,8.93,1620145392,RU
fairbanks,64.8378,-147.7164,43.02,52,75,4.47,1620145236,US
barrow,71.2906,-156.7887,15.8,73,90,4.63,1620145395,US
zharkent,44.1628,80,70.88,19,0,7.27,1620145396,KZ
kaitangata,-46.2817,169.8464,51.01,60,69,3,1620145397,NZ
lakki marwat,32.6079,70.9114,88.41,28,92,7.94,1620145399,PK
kulaman,6.4594,124.0892,81.41,80,99,2.48,1620145400,PH
camacha,33.0833,-16.3333,66.2,48,20,14.97,1620145401,PT
linfen,36.0889,111.5189,60.58,16,47,4.47,1620145403,CN
jiwani,25.05,61.7417,82.96,80,48,4.36,1620145404,PK
kagadi,0.9606,30.7967,69.42,77,75,1.12,1620145405,UG
coroico,-16.1889,-67.7271,60.8,20,20,8.05,1620145407,BO
bambous virieux,-20.3428,57.7575,78.89,89,40,3.44,1620145408,MU
whitehorse,60.7161,-135.0538,38.84,65,75,13.8,1620145409,CA
bathsheba,13.2167,-59.5167,86,54,40,23.02,1620145411,BB
port hardy,50.6996,-127.4199,48.2,81,75,5.75,1620145200,CA
vandoeuvre-les-nancy,48.65,6.1833,49.15,87,100,12.66,1620145413,FR
airai,-8.9266,125.4092,57.49,83,99,3.06,1620145414,TL
codrington,-38.2667,141.9667,51.78,74,59,6.33,1620145416,AU
nome,64.5011,-165.4064,25.63,68,1,5.48,1620145417,US
bizhbulyak,53.6967,54.2642,63,44,19,11.1,1620145418,RU
beringovskiy,63.05,179.3167,20.14,96,93,3.44,1620145420,RU
labuhan,-6.8844,112.2051,80.87,81,100,8.84,1620145421,ID
coxim,-18.5067,-54.76,95.18,14,2,7.14,1620145422,BR
ereymentau,51.6199,73.1033,54.25,48,68,10.31,1620145424,KZ
mehran,33.1222,46.1646,71.6,26,20,4.61,1620145425,IR
leshukonskoye,64.8989,45.7622,37.99,51,100,11.54,1620145426,RU
adrar,20.5022,-10.0711,94.6,14,71,3.87,1620145428,MR
sao filipe,14.8961,-24.4956,71.08,73,21,7.85,1620145429,CV
luderitz,-26.6481,15.1594,67.06,72,62,13.06,1620145431,NA
carnarvon,-24.8667,113.6333,62.6,94,88,5.75,1620145432,AU
provideniya,64.3833,-173.3,27.79,63,5,1.74,1620145433,RU
cao bang,22.6667,106.25,73.53,96,23,4.05,1620145435,VN
fortuna,40.5982,-124.1573,51.15,100,90,5.75,1620145436,US
chachapoyas,-6.2317,-77.869,67.44,58,51,0.65,1620145437,PE
anloga,5.7947,0.8973,87.8,70,20,10.36,1620145272,GH
cabo san lucas,22.8909,-109.9124,73.83,68,1,4.61,1620145440,MX
karaton,-6.3424,106.1045,80.17,78,40,4.61,1620145441,ID
coihaique,-45.5752,-72.0662,44.6,65,0,4.61,1620145443,CL
leh,34.1667,77.5833,50.02,43,87,3.09,1620145444,IN
sanchez,19.2281,-69.6137,83.26,78,40,7.25,1620145446,DO
izumo,35.3667,132.7667,66.2,55,90,13.8,1620145447,JP
khatanga,71.9667,102.5,31.55,84,100,8.25,1620145448,RU
sapu,36.174,107.7082,52.38,21,26,3.11,1620145450,CN
kerchevskiy,59.946,56.2884,56.16,82,100,4.81,1620145451,RU
damienesti,46.7333,26.9833,68,28,0,9.22,1620145452,RO
contamana,-7.3333,-75.0167,91.71,48,54,1.32,1620145454,PE
grand gaube,-20.0064,57.6608,79,86,2,3,1620145455,MU
longyearbyen,78.2186,15.6401,30.2,80,75,10.36,1620145315,SJ
cap malheureux,-19.9842,57.6142,79,86,2,3,1620145457,MU
bichena,10.45,38.2,59.38,75,84,4.05,1620145459,ET
mandalgovi,45.7625,106.2708,43.25,32,5,4.45,1620145460,MN
sulangan,11.1373,123.7228,82.94,77,100,16.75,1620145461,PH
mayskiy,47.6931,40.1025,60.8,29,20,8.95,1620145463,RU
najran,17.4924,44.1277,86,15,40,6.91,1620145464,SA
kermanshah,34.3142,47.065,73.4,16,20,11.5,1620145465,IR
komsomolskiy,40.4272,71.7189,78.8,27,16,6.91,1620145467,UZ
bethel,41.3712,-73.414,58.08,82,90,2.62,1620145468,US
ahipara,-35.1667,173.1667,51.4,83,0,4.29,1620145470,NZ
edson,53.5835,-116.4356,44.6,76,40,12.66,1620145472,CA
sao jose da coroa grande,-8.8978,-35.1478,81.86,72,40,7.43,1620145473,BR
mascote,-15.5631,-39.3025,85.51,49,62,5.46,1620145474,BR
strezhevoy,60.7333,77.5889,42.8,61,90,6.71,1620145476,RU
minden,52.2833,8.9167,53.24,58,20,29.93,1620145478,DE
ocean city,39.2776,-74.5746,69.57,65,40,10.36,1620145479,US
am timan,11.0297,20.2827,98.85,19,84,9.15,1620145455,TD
veraval,20.9,70.3667,83.34,78,6,12.21,1620145483,IN
bar harbor,44.3876,-68.2039,51.46,38,90,6.91,1620145484,US
cherskiy,68.75,161.3,11.68,87,17,6.71,1620145486,RU
deputatskiy,69.3,139.9,24.93,98,100,3.24,1620145487,RU
olinda,-8.0089,-34.8553,77,78,75,6.35,1620145225,BR
la ronge,55.1001,-105.2842,35.6,48,7,5.75,1620145489,CA
dutlwe,-23.9833,23.9,64.69,28,0,3.85,1620145491,BW
batsfjord,70.6345,29.7185,32,80,75,5.75,1620145493,NO
lokosovo,61.1333,74.8167,39.47,93,100,9.75,1620145494,RU
nanzhang,31.7765,111.8386,62.83,44,100,4.9,1620145495,CN
wawa,9.9022,4.4192,96.21,32,98,6.08,1620145497,NG
bulgan,48.8125,103.5347,46.8,33,78,2.86,1620145459,MN
faya,18.3851,42.4509,68.9,64,40,6.91,1620145499,SA
hidrolandia,-4.4081,-40.4378,82.9,75,39,1.07,1620145500,BR
nadvoitsy,63.8667,34.3167,33.96,62,100,16.4,1620145502,RU
farmington,36.7281,-108.2187,55.6,58,20,5.75,1620145249,US
manokwari,-0.8667,134.0833,78.71,81,100,3.18,1620145223,ID
acarau,-2.8856,-40.12,82.02,77,48,10.18,1620145505,BR
hami,42.8,93.45,62.44,7,2,5.03,1620145507,CN
paamiut,61.994,-49.6678,42.31,57,16,8.16,1620145508,GL
eureka,40.8021,-124.1637,50.94,100,90,5.75,1620145509,US
surt,31.2089,16.5887,70.14,67,99,14.5,1620145511,LY
picos,-7.0769,-41.4669,94.1,33,19,5.01,1620145512,BR
kezmarok,49.1357,20.4335,55.72,41,20,13.8,1620145514,SK
nouadhibou,20.931,-17.0347,73.4,56,0,21.85,1620145515,MR
tasiilaq,65.6145,-37.6368,32,74,1,13.8,1620145516,GL
thompson,55.7435,-97.8558,33.8,75,90,5.75,1620145517,CA
englehart,47.8169,-79.8664,46.4,81,90,16.11,1620145519,CA
barstow,34.8986,-117.0228,72.18,17,1,9.22,1620145226,US
azul,-36.777,-59.8585,55,64,9,5.99,1620145521,AR
shepsi,44.0361,39.1489,58.78,71,94,9.75,1620145522,RU
rudbar,30.15,62.6,80.38,30,69,16.73,1620145524,AF
suntar,62.1444,117.6319,34.79,96,100,0.72,1620145525,RU
grimshaw,56.1834,-117.6027,43.9,87,90,5.75,1620145526,CA
nicolas bravo,18.45,-88.9167,87.87,74,75,17.27,1620145528,MX
nouakchott,18.0858,-15.9785,80.6,47,17,23.02,1620145517,MR
borovskoy,53.8,64.15,62.91,48,100,8.95,1620145530,KZ
chino valley,34.7575,-112.4538,65.8,25,1,0.43,1620145531,US
sitka,57.0531,-135.33,44.6,81,90,8.05,1620145533,US
nabire,-3.3667,135.4833,77.25,89,100,2.77,1620145534,ID
victoria,22.2855,114.1577,72.79,89,70,3.85,1620145275,HK
nemuro,43.3236,145.575,36.07,83,60,5.61,1620145537,JP
vangaindrano,-23.35,47.6,70.29,85,3,1.68,1620145538,MG
kindu,-2.95,25.95,77.56,79,91,4.38,1620145539,CD
chulman,56.8479,124.9104,33.48,96,100,3.51,1620145541,RU
dalvik,65.9702,-18.5286,39.2,41,20,6.91,1620145542,IS
chengde,40.9725,117.9361,46.65,19,15,7.96,1620145543,CN
srednekolymsk,67.45,153.6833,25.97,94,100,2.71,1620145545,RU
vao,-22.6667,167.4833,71.71,82,98,31.94,1620145546,NC
sal rei,16.1833,-22.9167,75.2,57,75,18.41,1620145547,CV
ambon,-3.6954,128.1814,78.8,94,40,4.61,1620145549,ID
zyryanka,65.75,150.85,30.43,99,100,3.2,1620145550,RU
aligudarz,33.4006,49.6949,56.16,55,57,5.26,1620145551,IR
tyumentsevo,53.3224,81.498,48.04,40,78,5.14,1620145553,RU
chivay,-15.6383,-71.6011,60.35,33,40,5.23,1620145554,PE
beian,63.6559,9.5683,46.53,53,75,23.02,1620145555,NO
moron,-34.6534,-58.6198,59.72,58,20,8.01,1620145557,AR
vardo,70.3705,31.1107,33.8,75,75,13.8,1620145558,NO
lydenburg,-25.0978,30.4597,48.99,69,3,1.03,1620145560,ZA
hirara,24.8,125.2833,75.33,92,65,18.48,1620145561,JP
kahului,20.8947,-156.47,66.78,82,20,5.75,1620145562,US
champerico,14.3,-91.9167,78.28,74,20,6.91,1620145564,GT
belaya gora,68.5333,146.4167,30.34,99,100,3.42,1620145565,RU
sakakah,29.9697,40.2064,93.2,10,40,8.05,1620145566,SA
olafsvik,64.8945,-23.7142,39.69,47,2,4.05,1620145568,IS
kaputa,-8.4689,29.6619,72.41,75,34,1.52,1620145569,ZM
namatanai,-3.6667,152.4333,79.45,82,19,1.74,1620145570,PG
dalaba,10.7,-12.25,88.11,25,69,5.88,1620145572,GN
henties bay,-22.116,14.2845,70.02,63,1,13,1620145573,NA
mumford,5.2618,-0.759,81.81,72,95,11.86,1620145574,GH
sakaiminato,35.55,133.2333,66.2,55,90,13.8,1620145507,JP
axim,4.8699,-2.2405,82.63,68,100,7.14,1620145577,GH
mezobereny,46.8167,21.0333,64.4,32,0,16.11,1620145578,HU
